# Constructed from biom file
#OTU ID	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
66c9aaf6e51ab20ad3c31796a59aefb0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
50dc0dbdf04d67d3821dc7aa94dbbc8d	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
8b1466bc9574a9513a5b3c4543eaa768	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
28490b6f0807445b92665c15f1c67e24	13.0	10.0	3.0	2.0	18.0	11.0	13.0	7.0
be96f8939a2fa483bbc8c6f59e10315b	0.0	0.0	13.0	1.0	0.0	0.0	0.0	0.0
e5b3d228e1e0f478f22194c5b72a6253	83.0	32.0	17.0	0.0	106.0	60.0	23.0	24.0
1b241ab7819d682db24603bd3450f5f0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0
bad4f3619db7d0dba6568a93c20c39dc	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
8e764524cbb07aafe9802da3a977fd0d	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0
5dc066e7701d9a7e6c1bc551466886d5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
3fb82f7e4684670b395e8b01ecf05bea	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0
3b91f3f853208fbb2227f5736c7f82bb	11.0	1.0	0.0	5.0	0.0	0.0	5.0	0.0
2ff83afedbcc2eec6dfbe62a2f6ad1e4	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
892338e729bf4b1d41f57b36dcf6425f	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0
b8115906caa99f5bb8340efc40df63a1	0.0	0.0	4.0	0.0	3.0	7.0	2.0	44.0
b3a6867b221f4d0798115296b3aefb1d	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d8b5acb42031a8a5b46d90faf1a374b	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
8827262323b0961c125cdc09573b4f24	3.0	2.0	0.0	0.0	3.0	0.0	2.0	6.0
c3c1caf1f8e87288a2d497b66a191c8b	36.0	2.0	8.0	1.0	0.0	0.0	0.0	0.0
2af0a579f513e784c4bff153d6f6fa6a	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
4d7b6f6d5f8fe245608e2a5494d6a9fd	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7ff0a6a8b414aee24ca7c623f0a09f45	0.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0
23061076f3d6f7e189a2c1eaf4aac4b2	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
d7df76d839444fa32e62da38b979446c	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0
2e1ec41d6e14966e483a2a3194fbdb80	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
5bf9e50af0dd06e0a419ec41d2f2f187	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0ef9a9cc0f7da028645c4b73e8dc3acf	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
74b7a8256b81eaa7624f4902a10cadc0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0
ab2b071abcb49c53965df22c590ba2a2	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0
184a145f2ed6de9a2a64ee72912b4a4f	8.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0
